1	0	3706	1351
2	19849	2446	1179
3	33844	413	284
4	36423	37	37
5	36681	2468	787
6	49838	2410	737
7	62695	4195	1298
8	84934	288	285
9	86539	711	497
10	90922	2634	1423
11	105620	43	34
12	105905	395	355
13	108284	1361	950
14	116152	697	383
15	120261	178	112
16	121399	3496	1038
17	140083	1656	646
18	149205	1403	582
19	156773	89	81
20	157335	1990	1159
21	168877	736	290
22	173055	338	156
23	175009	201	67
24	176098	1762	991
25	186502	28	25
26	186696	68	61
27	187182	5922	1899
28	219319	647	426
29	223332	242	190
30	224928	3159	1706
31	242677	851	515
32	247926	1589	628
33	256869	7	6
34	256923	794	390
35	261625	1591	894
36	270895	585	247
37	274350	81	58
38	274884	1	1
39	274892	302	220
40	276869	644	434
41	280916	1166	701
42	287934	1778	593
43	297481	2113	790
44	308879	3	3
45	308904	341	239
46	311047	1461	665
47	319311	107	82
48	320035	1750	702
49	329721	884	494
50	334925	351	228
51	337100	774	630
52	341667	248	183
53	343265	11109	2897
54	401627	28	25
55	401835	138	115
56	402774	306	224
57	404740	2	2
58	404758	747	473
59	409356	11	11
60	409448	1	1
61	409457	2886	1881
62	426224	1136	883
63	433158	964	575
64	438864	1190	573
65	445918	583	397
66	449506	12	10
67	449593	1431	1153
68	458161	137	108
69	459097	448	342
70	461976	2065	887
71	473540	437	277
72	476286	299	181
73	478122	1387	813
74	486199	5457	2072
75	515952	235	153
76	517502	595	307
77	520998	154	105
78	521955	766	291
79	526236	227	119
80	527671	1	1
81	527680	145	116
82	528695	2	2
83	528713	154	112
84	529708	146	114
85	530690	73	54
86	531166	1547	1327
87	540488	1012	617
88	546282	95	84
89	546953	642	350
90	550633	1415	888
91	559098	1	1
92	559107	2153	913
93	571096	778	502
94	575926	581	433
95	579541	259	181
96	581136	1	1
97	581143	9	9
98	581212	1868	1017
99	592203	96	20
100	592716	419	284
101	595329	3138	1439
102	612766	260	157
103	614383	465	338
104	617319	706	308
105	621372	1082	435
106	627361	2196	1106
107	640182	130	108
108	641050	1369	1326
109	648026	2	2
110	648043	1	1
111	648052	2	2
112	648067	104	102
113	648704	1306	514
114	656047	25	21
115	656235	2762	1439
116	672281	439	218
117	674919	29	23
118	675128	2	2
119	675146	1	1
120	675155	3	3
121	675181	3166	887
122	692032	24	21
123	692222	7	7
124	692282	23	16
125	692442	10	7
126	692516	1374	716
127	700498	747	266
128	704632	11	2
129	704697	1	1
130	704706	3	1
131	704727	249	193
132	706381	349	263
133	708677	541	399
134	712104	78	55
135	712640	6	5
136	712689	1089	590
137	719015	1516	660
138	727665	1	1
139	727675	1146	357
140	733922	219	133
141	735332	443	261
142	738003	278	147
143	739708	110	96
144	740399	496	300
145	743325	2190	872
146	755418	8188	4056
147	799170	3	3
148	799197	1127	594
149	805760	2366	1062
150	819005	8	1
151	819054	1	1
152	819064	292	214
153	820839	1	1
154	820849	50	35
155	821209	22	18
156	821373	32	31
157	821615	15	9
158	821721	89	76
159	822328	320	169
160	824237	22	17
161	824399	657	246
162	828084	121	89
163	828877	3	3
164	828907	4	4
165	828943	135	101
166	829835	94	78
167	830505	96	73
168	831187	509	318
169	834171	248	173
170	835793	552	357
171	839116	696	399
172	843241	236	134
173	844735	610	351
174	848545	1	1
175	848555	56	51
176	848960	102	73
177	849654	45	40
178	849976	16	12
179	850104	412	306
180	852768	3388	663
181	870623	2040	1190
182	882558	240	199
183	884129	5	5
184	884175	5	5
185	884218	22	13
186	884364	337	230
187	886490	1	1
188	886500	3	3
189	886527	159	117
190	887592	14	12
191	887702	280	195
192	889508	10	9
193	889588	176	125
194	890751	635	416
195	894678	918	580
196	900244	37	32
197	900518	294	169
198	902332	438	232
199	904970	213	153
200	906366	81	57
201	906912	1438	805
202	915432	4	4
203	915467	202	145
204	916778	5	5
205	916824	833	231
206	921375	103	81
207	922076	85	69
208	922677	34	21
209	922909	36	32
210	923177	10	8
211	923261	44	39
212	923593	28	22
213	923792	182	137
214	924969	405	241
215	927486	985	668
216	933453	365	220
217	935663	561	371
218	939118	196	160
219	940456	10	9
220	940538	92	78
221	941195	26	22
222	941376	582	188
223	944583	181	124
224	945749	54	44
225	946145	520	305
226	949438	1	1
227	949448	37	22
228	949695	14	13
229	949809	681	480
230	953825	1082	567
231	960260	596	392
232	963892	2625	857
233	977846	163	107
234	978901	455	291
235	981669	6011	2582
236	1014282	2	2
237	1014301	109	80
238	1015032	5	4
239	1015071	194	147
240	1016344	5	4
241	1016385	79	58
242	1016933	9	7
243	1017003	6	6
244	1017055	4	2
245	1017084	156	121
246	1018118	96	74
247	1018765	1533	769
248	1027473	70	61
249	1027988	1707	992
250	1037702	12	9
251	1037801	636	442
252	1041716	4	3
253	1041748	36	32
254	1042014	345	181
255	1044134	843	465
256	1048934	235	138
257	1050396	146	83
258	1051316	82	56
259	1051875	1121	596
260	1058344	2318	767
261	1070982	300	179
262	1072806	41	28
263	1073087	80	57
264	1073631	6	6
265	1073679	2491	1249
266	1088134	1	1
267	1088144	183	80
268	1089231	318	229
269	1091252	12	12
270	1091348	1	1
271	1091358	2	2
272	1091377	10	5
273	1091444	258	214
274	1093145	609	413
275	1096794	48	38
276	1097130	1	1
277	1097140	62	42
278	1097570	25	23
279	1097761	303	149
280	1099574	58	48
281	1099991	643	320
282	1103828	47	36
283	1104164	448	232
284	1106836	43	36
285	1107135	1	1
286	1107145	1107	678
287	1113532	82	56
288	1114105	949	552
289	1119891	1069	645
290	1126310	113	92
291	1127099	500	361
292	1130258	1456	316
293	1138176	1223	401
294	1144812	2	2
295	1144831	117	82
296	1145605	16	14
297	1145728	50	40
298	1146075	1067	605
299	1152117	194	106
300	1153319	32	27
301	1153545	32	23
302	1153774	99	41
303	1154357	1	1
304	1154367	106	79
305	1155097	44	42
306	1155435	11	9
307	1155520	42	31
308	1155819	198	124
309	1157099	129	90
310	1157982	44	36
311	1158299	282	208
312	1160124	157	132
313	1161185	2	2
314	1161204	13	8
315	1161293	2178	636
316	1172965	258	200
317	1174637	108	88
318	1175393	446	307
319	1178243	57	41
320	1178647	254	172
321	1180323	641	431
322	1184278	1303	742
323	1192013	2306	653
324	1204523	1986	948
325	1215637	3	3
326	1215664	1	1
327	1215674	1	1
328	1215684	10	7
329	1215758	281	195
330	1217569	14	12
331	1217681	95	73
332	1218332	10	9
333	1218413	244	192
334	1220002	29	23
335	1220216	2	2
336	1220236	222	147
337	1221662	564	354
338	1225260	1	1
339	1225270	1	1
340	1225280	33	20
341	1225497	112	77
342	1226239	1	1
343	1226249	4567	1836
344	1251456	925	222
345	1256451	1145	669
346	1262967	345	208
347	1264998	405	256
348	1267405	2148	363
349	1278307	1556	471
350	1286573	742	475
351	1291084	3393	1687
352	1309143	337	336
353	1310995	170	115
354	1312070	90	54
355	1312653	3	2
356	1312676	272	220
357	1314447	2922	2656
358	1329434	10	6
359	1329503	393	164
360	1331740	95	49
361	1332321	1111	469
362	1338495	571	214
363	1341678	94	79
364	1342314	331	222
365	1344336	641	275
366	1348032	686	334
367	1352037	748	406
368	1356316	948	508
369	1362001	273	131
370	1363615	4	3
371	1363646	8	6
372	1363708	44	30
373	1363997	167	100
374	1365030	365	172
375	1367125	248	191
376	1368771	33	18
377	1368986	351	130
378	1371109	70	37
379	1371562	163	107
380	1372588	2813	1541
381	1388536	280	196
382	1390252	1165	390
383	1396623	1818	688
384	1406625	892	397
385	1411677	590	218
386	1414986	577	275
387	1418311	391	176
388	1420574	547	323
389	1423815	549	178
390	1426746	1407	486
391	1434460	197	137
392	1435684	167	132
393	1436778	41	26
394	1437059	5	5
395	1437104	341	191
396	1439163	1115	491
397	1445569	362	206
398	1447754	65	52
399	1448213	2674	611
400	1462586	419	252
401	1465131	630	324
402	1468896	218	151
403	1470328	244	168
404	1471945	60	52
405	1472374	451	238
406	1475128	812	512
407	1479919	62	48
408	1480352	260	208
409	1482059	217	127
410	1483417	150	118
411	1484413	898	519
412	1489902	584	374
413	1493582	1385	757
414	1501833	50	35
415	1502176	1594	1319
416	1511834	203	171
417	1513197	21	10
